10.09, 2, white, Exit
10.09, 4, white, Entry
10.09, 2, white, Entry
10.12, 1, white, Entry
10.15, 4, white, Entry
10.19, 4, white, Entry
10.22, 2, white, Entry
10.25, 4, white, Entry
10.29, 4, white, Entry
10.32, 2, white, Exit
10.32, 1, white, Entry
10.32, 2, white, Entry
10.35, 1, white, Entry
10.38, 2, white, Entry
10.42, 1, white, Entry
10.45, 2, white, Entry
10.48, 2, white, Entry
10.52, 2, white, Entry
10.55, 2, white, Entry
10.58, 2, white, Exit
10.58, 1, white, Entry
10.58, 2, white, Entry
10.62, 1, white, Entry
10.65, 4, white, Exit
10.65, 2, white, Entry
10.65, 1, white, Exit
10.65, 2, white, Entry
10.65, 2, white, Entry
10.68, 1, white, Entry
10.72, 2, white, Exit
10.72, 1, white, Entry
10.72, 2, white, Entry
10.75, 2, white, Entry
10.78, 2, white, Exit
10.78, 1, white, Entry
10.78, 2, white, Entry
10.82, 2, white, Entry
10.85, 2, white, Entry
10.88, 1, white, Entry
10.92, 2, white, Entry
10.95, 2, white, Entry
10.98, 2, white, Exit
10.98, 1, white, Entry
10.98, 1, white, Entry
11.02, 2, white, Entry
11.05, 2, white, Entry
11.08, 2, white, Entry
11.12, 2, white, Entry
11.15, 2, white, Entry
11.18, 2, white, Entry
11.22, 1, white, Entry
11.25, 2, white, Exit
11.25, 1, white, Entry
11.25, 2, white, Entry
11.28, 2, white, Entry
11.32, 2, white, Entry
11.35, 1, white, Entry
11.38, 1, white, Entry
11.42, 2, white, Entry
11.45, 2, white, Entry
11.48, 2, white, Entry
11.52, 2, white, Entry
11.55, 1, white, Entry
11.58, 2, white, Exit
11.58, 4, white, Entry
11.58, 2, white, Entry
11.62, 2, white, Exit
11.62, 1, white, Entry
11.62, 2, white, Entry
11.65, 2, white, Entry
11.68, 2, white, Entry
11.72, 2, white, Entry
11.75, 2, white, Entry
11.78, 1, white, Entry
11.82, 1, white, Entry
11.85, 1, white, Entry
11.88, 1, white, Exit
11.88, 2, white, Entry
11.88, 2, white, Entry
11.92, 2, white, Entry
11.95, 2, white, Entry
11.98, 2, white, Entry
12.02, 4, orange, Entry
12.05, 4, orange, Entry
12.08, 1, white, Entry
12.12, 2, white, Entry
12.15, 2, white, Entry
12.18, 2, white, Entry
12.22, 2, white, Entry
12.25, 4, orange, Entry
12.28, 2, white, Entry
12.32, 2, white, Entry
12.35, 4, orange, Entry
12.38, 4, orange, Entry
12.42, 2, white, Entry
12.45, 2, white, Entry
12.48, 2, white, Entry
12.52, 2, white, Entry
12.55, 4, orange, Entry
12.58, 1, white, Entry
12.62, 2, white, Entry
12.65, 2, white, Entry
12.68, 2, white, Entry
12.71, 2, white, Entry
12.75, 2, white, Entry
12.78, 4, orange, Entry
12.81, 4, orange, Entry
12.85, 1, white, Entry
12.88, 2, white, Entry
12.91, 1, white, Entry
12.95, 4, orange, Entry
12.98, 4, orange, Entry
13.01, 4, white, Entry
13.05, 2, white, Entry
13.08, 2, white, Entry
13.11, 4, orange, Entry
13.15, 2, white, Entry
13.18, 4, white, Exit
13.18, 2, white, Entry
13.18, 4, orange, Entry
13.21, 4, orange, Entry
13.25, 4, orange, Entry
13.28, 4, orange, Entry
13.31, 2, white, Entry
13.35, 2, white, Entry
13.38, 2, white, Entry
13.41, 2, white, Entry
13.45, 2, white, Entry
13.48, 4, white, Entry
13.51, 4, orange, Entry
13.55, 2, white, Entry
13.58, 4, white, Entry
13.61, 2, white, Entry
13.65, 2, white, Entry
13.68, 2, white, Entry
13.71, 2, white, Exit
13.71, 1, white, Entry
13.71, 2, white, Entry
13.75, 2, white, Entry
13.78, 1, white, Entry
13.81, 2, white, Entry
13.85, 1, white, Entry
13.88, 2, white, Entry
13.91, 2, white, Entry
13.95, 1, white, Entry
13.98, 2, white, Entry
14.01, 2, white, Entry
14.05, 2, white, Entry
14.08, 2, white, Entry
14.11, 2, white, Exit
14.11, 1, white, Entry
14.11, 1, white, Entry
14.15, 2, white, Entry
14.18, 4, orange, Entry
14.21, 2, white, Entry
14.25, 4, orange, Entry
14.28, 2, white, Entry
14.31, 2, white, Entry
14.35, 2, white, Exit
14.35, 1, white, Entry
14.35, 4, orange, Entry
14.38, 2, white, Entry
14.41, 2, white, Entry
14.45, 2, white, Entry
14.48, 2, white, Entry
14.51, 1, white, Entry
14.55, 2, white, Entry
14.58, 2, white, Entry
14.61, 1, white, Entry
14.65, 2, white, Entry
14.68, 2, white, Entry
14.71, 2, white, Entry
14.75, 2, white, Entry
14.78, 1, white, Entry
14.81, 2, white, Entry
14.85, 2, white, Entry
14.88, 2, white, Entry
14.91, 2, white, Entry
14.95, 2, white, Entry
14.98, 2, white, Entry
15.01, 2, white, Entry
15.04, 2, white, Entry
15.08, 2, white, Entry
15.11, 2, white, Entry
15.14, 2, white, Entry
15.18, 2, white, Entry
15.21, 2, white, Entry
15.24, 2, white, Exit
15.24, 1, white, Entry
15.24, 2, white, Entry
15.28, 2, white, Entry
15.31, 2, white, Entry
15.34, 2, white, Entry
15.38, 2, white, Entry
15.41, 2, white, Entry
15.44, 2, white, Entry
15.48, 1, white, Entry
15.51, 1, white, Exit
15.51, 2, white, Entry
15.51, 2, white, Entry
15.54, 2, white, Exit
15.54, 1, white, Entry
15.54, 2, white, Entry
15.58, 2, white, Entry
15.61, 4, orange, Entry
15.64, 4, orange, Entry
15.68, 4, orange, Entry
15.71, 4, orange, Entry
15.74, 4, orange, Entry
15.78, 4, orange, Entry
15.81, 4, orange, Entry
15.84, 2, white, Exit
15.84, 4, white, Entry
15.84, 4, white, Entry
15.88, 2, white, Exit
15.88, 4, white, Entry
15.88, 4, orange, Entry
15.91, 2, white, Entry
15.94, 1, white, Entry
15.98, 4, orange, Entry
16.01, 2, white, Entry
16.04, 1, white, Entry
16.08, 2, white, Entry
16.11, 2, white, Entry
16.14, 2, white, Entry
16.18, 2, white, Entry
16.21, 2, white, Entry
16.24, 2, white, Entry
16.28, 2, white, Entry
16.31, 2, white, Entry
16.34, 2, white, Entry
16.38, 1, white, Entry
16.41, 2, white, Entry
16.44, 4, white, Exit
16.44, 2, white, Entry
16.44, 1, white, Entry
16.48, 1, white, Exit
16.48, 2, white, Entry
16.48, 2, white, Entry
16.51, 2, white, Exit
16.51, 1, white, Entry
16.51, 2, white, Entry
16.54, 2, white, Entry
16.58, 1, white, Entry
16.61, 2, white, Entry
16.64, 2, white, Entry
16.68, 2, white, Entry
16.71, 1, white, Entry
16.74, 1, white, Exit
16.74, 2, white, Entry
16.74, 2, white, Entry
16.78, 2, white, Entry
16.81, 2, white, Entry
16.84, 1, white, Entry
16.88, 1, white, Exit
16.88, 2, white, Entry
16.88, 2, white, Entry
16.91, 2, white, Entry
16.94, 1, white, Entry
16.98, 2, white, Exit
16.98, 4, white, Entry
16.98, 2, white, Entry
17.01, 2, white, Entry
17.04, 2, white, Entry
17.08, 2, white, Entry
17.11, 2, white, Entry
17.14, 4, orange, Entry
17.18, 1, white, Entry
17.21, 2, white, Entry
17.24, 2, white, Entry
17.28, 1, white, Entry
17.31, 2, white, Entry
17.34, 4, white, Exit
17.34, 2, white, Entry
17.34, 2, white, Entry
17.37, 4, orange, Entry
17.41, 2, white, Exit
17.41, 4, white, Entry
17.41, 2, white, Entry
17.44, 1, white, Entry
17.47, 4, white, Exit
17.47, 2, white, Entry
17.47, 2, white, Entry
17.51, 1, white, Entry
17.54, 2, white, Entry
17.57, 2, white, Entry
17.61, 2, white, Entry
17.64, 2, white, Entry
17.67, 2, white, Entry
17.71, 2, white, Entry
17.74, 2, white, Entry
17.77, 2, white, Exit
17.77, 4, white, Entry
17.77, 2, white, Entry
17.81, 1, white, Entry
17.84, 2, white, Entry
17.87, 2, orange, Entry
17.91, 2, white, Entry
17.94, 1, white, Entry
17.97, 1, white, Entry
18.01, 2, white, Exit
18.01, 4, white, Entry
18.01, 2, orange, Entry
18.04, 1, white, Exit
18.04, 2, white, Entry
18.04, 2, white, Entry
18.07, 2, white, Entry
18.11, 1, white, Entry
18.14, 2, white, Entry
18.17, 1, white, Entry
18.21, 4, white, Entry
18.24, 1, white, Exit
18.24, 2, white, Entry
18.24, 4, white, Entry
18.27, 4, orange, Entry
18.31, 2, white, Exit
18.31, 1, white, Entry
18.31, 1, white, Entry
18.34, 4, white, Exit
18.34, 2, white, Entry
18.34, 1, white, Entry
18.37, 2, white, Entry
18.41, 2, white, Entry
18.44, 2, white, Exit
18.44, 4, white, Entry
18.44, 2, white, Entry
18.47, 4, orange, Entry
18.51, 1, white, Entry
18.54, 2, white, Entry
18.57, 4, orange, Entry
18.61, 1, white, Exit
18.61, 2, white, Entry
18.61, 1, white, Entry
18.64, 2, white, Entry
18.67, 2, white, Entry
18.71, 2, white, Entry
18.74, 2, white, Entry
18.77, 4, orange, Entry
18.81, 2, white, Exit
18.81, 1, white, Entry
18.81, 2, white, Entry
18.84, 1, white, Entry
18.87, 4, orange, Entry
18.91, 2, white, Entry
18.94, 2, white, Entry
18.97, 1, white, Entry
19.01, 2, white, Entry
19.04, 1, white, Entry
19.07, 4, white, Exit
19.07, 2, white, Entry
19.07, 2, white, Entry
19.11, 2, white, Entry
19.14, 2, white, Entry
19.17, 2, white, Entry
19.21, 2, white, Exit
19.21, 4, white, Entry
19.21, 2, white, Entry
19.24, 1, white, Entry
19.27, 2, white, Entry
19.31, 2, white, Entry
19.34, 2, white, Entry
19.37, 1, white, Entry
19.41, 2, white, Entry
19.44, 2, white, Entry
19.47, 2, white, Entry
19.51, 2, white, Entry
19.54, 1, white, Entry
19.57, 1, white, Exit
19.57, 2, white, Entry
19.57, 2, white, Entry
19.60, 2, white, Entry
19.64, 2, white, Entry
19.67, 2, white, Entry
19.70, 2, white, Entry
19.74, 1, white, Entry
19.77, 2, white, Entry
19.80, 2, white, Entry
19.84, 2, white, Entry
19.87, 2, white, Entry
19.90, 4, orange, Entry
19.94, 4, white, Exit
19.94, 2, white, Entry
19.94, 1, white, Entry
19.97, 1, white, Exit
19.97, 2, white, Entry
19.97, 2, white, Entry
20.00, 2, white, Exit
20.00, 1, white, Entry
20.00, 2, white, Entry
20.04, 2, white, Entry
20.07, 2, white, Entry
20.10, 2, white, Entry
20.14, 2, white, Exit
20.14, 4, white, Entry
20.14, 2, white, Entry
20.17, 1, white, Entry
20.20, 2, white, Entry
20.24, 4, white, Exit
20.24, 2, white, Entry
20.24, 2, white, Entry
20.27, 1, white, Entry
20.30, 2, white, Entry
20.34, 2, white, Entry
20.37, 1, white, Entry
20.40, 2, white, Entry
20.44, 2, white, Entry
20.47, 2, white, Entry
20.50, 1, white, Entry
20.54, 2, white, Entry
20.57, 1, white, Exit
20.57, 2, white, Entry
20.57, 2, white, Entry
20.60, 1, white, Entry
20.64, 2, white, Entry
20.67, 1, white, Entry
20.70, 1, white, Exit
20.70, 2, white, Entry
20.70, 2, white, Entry
20.74, 2, white, Exit
20.74, 1, white, Entry
20.74, 1, white, Entry
20.77, 2, white, Entry
20.80, 4, orange, Entry
20.84, 4, orange, Entry
20.87, 4, orange, Entry
20.90, 4, orange, Entry
20.94, 4, orange, Entry
20.97, 2, white, Entry
21.00, 1, white, Entry
21.04, 4, orange, Entry
21.07, 4, orange, Entry
21.10, 2, white, Entry
21.14, 2, white, Exit
21.14, 1, white, Entry
21.14, 4, orange, Entry
21.17, 2, white, Entry
21.20, 2, white, Entry
21.24, 2, white, Entry
21.27, 2, white, Entry
21.30, 1, white, Entry
21.34, 2, white, Entry
21.37, 1, white, Entry
21.40, 2, white, Exit
21.40, 4, white, Entry
21.40, 2, white, Entry
21.44, 1, orange, Entry
21.47, 2, white, Entry
21.50, 2, white, Entry
21.54, 2, white, Entry
21.57, 2, white, Entry
21.60, 2, white, Entry
21.64, 2, white, Entry
21.67, 2, white, Entry
21.70, 2, white, Exit
21.70, 1, white, Entry
21.70, 2, white, Entry
21.74, 2, white, Entry
21.77, 2, white, Entry
21.80, 2, white, Entry
21.84, 1, white, Exit
21.84, 2, white, Entry
21.84, 2, white, Entry
21.87, 2, white, Exit
21.87, 1, white, Entry
21.87, 2, white, Entry
21.90, 2, white, Entry
21.93, 2, white, Entry
21.97, 1, white, Entry
22.00, 2, white, Entry
22.03, 1, white, Exit
22.03, 2, white, Entry
22.03, 2, white, Entry
22.07, 1, white, Entry
22.10, 4, white, Exit
22.10, 2, white, Entry
22.10, 2, white, Exit
22.10, 1, white, Entry
22.10, 2, white, Entry
22.13, 2, white, Entry
22.17, 2, white, Entry
22.20, 2, white, Exit
22.20, 4, white, Entry
22.20, 2, white, Entry
22.23, 1, white, Entry
22.27, 2, white, Entry
22.30, 2, white, Entry
22.33, 1, white, Entry
22.37, 2, white, Entry
22.40, 2, white, Exit
22.40, 4, white, Entry
22.40, 2, white, Entry
22.43, 2, white, Entry
22.47, 2, white, Exit
22.47, 4, white, Entry
22.47, 2, white, Entry
22.50, 2, white, Entry
22.53, 2, white, Entry
22.57, 1, white, Entry
22.60, 4, white, Exit
22.60, 2, white, Entry
22.60, 2, white, Entry
22.63, 4, white, Exit
22.63, 2, white, Entry
22.63, 2, white, Entry
22.67, 2, white, Entry
22.70, 2, white, Entry
22.73, 1, white, Entry
22.77, 2, white, Entry
22.80, 2, white, Entry
22.83, 2, white, Entry
22.87, 2, white, Exit
22.87, 4, white, Entry
22.87, 2, white, Entry
22.90, 2, white, Entry
22.93, 1, white, Entry
22.97, 2, white, Entry
23.00, 1, white, Exit
23.00, 2, white, Entry
23.00, 2, white, Entry
23.03, 2, white, Exit
23.03, 1, white, Entry
23.03, 2, white, Entry
23.07, 2, white, Entry
23.10, 2, white, Entry
23.13, 2, white, Entry
23.17, 2, white, Entry
23.20, 2, white, Entry
23.23, 1, white, Entry
23.27, 2, white, Entry
23.30, 2, white, Entry
23.33, 4, orange, Entry
23.37, 4, white, Exit
23.37, 2, white, Entry
23.37, 2, white, Entry
23.40, 4, white, Exit
23.40, 2, white, Entry
23.40, 2, white, Entry
23.43, 2, orange, Entry
23.47, 2, white, Exit
23.47, 4, white, Entry
23.47, 2, white, Entry
23.50, 2, orange, Exit
23.50, 4, orange, Entry
23.50, 1, white, Entry
23.53, 4, white, Entry
23.57, 2, orange, Entry
23.60, 2, white, Entry
23.63, 1, white, Entry
23.67, 1, white, Entry
23.70, 2, white, Entry
23.73, 2, orange, Entry
23.77, 2, orange, Entry
23.80, 1, white, Entry
23.83, 2, white, Entry
23.87, 2, orange, Entry
23.90, 2, white, Entry
23.93, 2, white, Entry
23.97, 2, white, Entry
24.00, 2, white, Entry
24.07, 2, orange, Entry
24.10, 1, white, Exit
24.10, 4, white, Entry
24.10, 2, white, Entry
24.13, 1, white, Entry
24.17, 2, white, Entry
24.20, 2, white, Entry
24.23, 4, white, Entry
24.26, 1, white, Entry
24.30, 2, white, Entry
24.33, 2, orange, Entry
24.36, 4, white, Entry
24.40, 2, white, Entry
24.43, 2, orange, Entry
24.46, 2, white, Entry
24.50, 2, orange, Entry
24.53, 2, orange, Exit
24.53, 4, orange, Entry
24.53, 2, white, Entry
24.56, 1, white, Entry
24.60, 4, white, Exit
24.60, 2, white, Entry
24.60, 4, orange, Entry
24.63, 4, orange, Entry
24.66, 1, white, Exit
24.66, 2, white, Entry
24.66, 1, white, Entry
24.70, 2, white, Exit
24.70, 1, white, Entry
24.70, 1, white, Entry
24.73, 1, white, Entry
24.76, 2, white, Entry
24.80, 2, white, Entry
24.83, 1, white, Entry
24.86, 4, white, Exit
24.86, 2, white, Entry
24.86, 2, white, Entry
24.90, 2, white, Entry
24.93, 2, white, Exit
24.93, 4, white, Entry
24.93, 2, white, Entry
24.96, 2, white, Entry
25.00, 4, white, Exit
25.00, 2, white, Entry
25.00, 2, white, Exit
25.00, 1, white, Entry
25.00, 2, white, Entry
25.03, 2, white, Exit
25.03, 4, white, Entry
25.03, 2, white, Entry
25.06, 2, white, Entry
25.10, 4, white, Exit
25.10, 2, white, Entry
25.10, 2, white, Entry
25.13, 2, white, Entry
25.16, 2, white, Entry
25.20, 2, white, Entry
25.23, 2, white, Entry
25.26, 2, white, Entry
25.30, 2, white, Entry
25.33, 1, white, Entry
25.36, 2, white, Entry
25.40, 2, white, Entry
25.43, 2, white, Entry
25.46, 2, white, Entry
25.50, 2, white, Entry
25.53, 2, white, Entry
25.56, 2, white, Entry
25.60, 2, white, Entry
25.63, 1, white, Entry
25.66, 1, white, Entry
25.70, 2, white, Entry
25.73, 2, white, Exit
25.73, 1, white, Entry
25.73, 2, white, Entry
25.76, 2, white, Entry
25.80, 2, white, Exit
25.80, 4, white, Entry
25.80, 2, white, Entry
25.83, 2, white, Entry
25.86, 2, white, Entry
25.90, 2, white, Entry
25.93, 2, white, Entry
25.96, 2, white, Entry
26.00, 2, white, Entry
26.03, 2, white, Entry
26.06, 2, white, Entry
26.10, 2, white, Entry
26.13, 1, white, Entry
26.16, 2, white, Entry
26.20, 1, white, Entry
26.23, 2, white, Entry
26.26, 4, orange, Entry
26.30, 1, white, Exit
26.30, 2, white, Entry
26.30, 4, orange, Entry
26.33, 4, orange, Entry
26.36, 4, orange, Entry
26.40, 4, orange, Entry
26.43, 4, orange, Entry
26.46, 4, orange, Entry
26.49, 4, orange, Entry
26.53, 4, white, Exit
26.53, 2, white, Entry
26.53, 4, orange, Entry
26.56, 2, white, Entry
26.59, 2, white, Entry
26.63, 2, white, Exit
26.63, 4, white, Entry
26.63, 4, orange, Entry
26.66, 2, white, Entry
26.69, 4, orange, Entry
26.73, 1, white, Entry
26.76, 1, white, Entry
26.79, 1, white, Entry
26.83, 4, orange, Entry
26.86, 1, white, Entry
26.89, 4, orange, Entry
26.93, 4, orange, Entry
26.96, 1, white, Entry
26.99, 1, white, Entry
27.03, 2, white, Entry
27.06, 4, orange, Entry
27.09, 4, orange, Entry
27.13, 4, orange, Entry
